SensorID,NodeID,Latitude,Longitude,TransformedX,TransformedY,Distance
3277,492500452,40.765916,-111.956304,-1.4445943042558827E7,3989890.9484898443,128725.93674297958
3276,492500452,40.767025,-111.946552,-1.444492132052338E7,3990049.2593127126,129536.76888822306
99545,492500452,40.645545,-111.902756,-1.4439677980266543E7,3979534.6096532284,134795.4550939791
1095,492500452,40.833746,-111.932838,-1.4443821495034354E7,3996047.974896737,130396.03108135695
99541,492500452,40.659148,-111.901408,-1.4439606456376066E7,3980751.4258251716,134664.5182654654
660,492500452,40.431796,-111.832091,-1.4431124051957859E7,3960946.0355667486,146375.2707385257
661,492500452,40.431973,-111.786832,-1.4426357083277995E7,3961239.738500208,150007.87694682844
52000,352868238,37.855211,-109.186772,-1.4139058385695508E7,3742984.6704512974,149774.81452821908
662,492500452,40.431856,-111.786831,-1.4426356370101128E7,3961229.315414956,150011.9747775587
663,492500452,40.432434,-111.830026,-1.44309098265788E7,3961015.5885112085,146518.6963999112
664,492500452,40.731215,-111.498802,-1.4397561774948465E7,3989620.5365155074,167446.8556866778
665,492500452,40.747163,-111.642755,-1.4412810857919995E7,3990153.015883826,155217.46681885095
52001,352868238,37.855241,-109.186762,-1.4139057491809156E7,3742987.5056765582,149771.46313226863
667,492500452,40.721695,-111.52223,-1.4399980978883093E7,3988632.123130235,165569.29890732124
668,492500452,40.725591,-111.539511,-1.4401821793158768E7,3988871.9716237956,164080.80622433324
669,492500452,40.729872,-111.548494,-1.440279033191606E7,3989196.8169406573,163286.20349572971
9801,1897559077,37.106192,-113.39667,-1.4578037588975366E7,3647622.525776928,140846.34798316198
5448,492500452,40.466571,-111.944758,-1.4443173952219924E7,3963352.7560438514,136110.1487492226
5449,492500452,40.466607,-111.944629,-1.4443160549508344E7,3963356.7563061602,136119.28311545576
3280,492500452,40.764919,-111.966777,-1.4447041306923555E7,3989738.1321583986,127853.87490544513
99577,492500452,40.530475,-111.891616,-1.4437907472008722E7,3969369.960245735,138413.5079556864
99579,492500452,40.515107,-111.891216,-1.4437785541313693E7,3968004.407451266,138890.83075694408
3285,492500452,40.764791,-111.985304,-1.4448992628897661E7,3989612.857471953,126298.52669686469
99572,492500452,40.549116,-111.895999,-1.4438465984808749E7,3971001.9656079337,137541.11949671333
147470,492500452,41.030336,-111.987403,-1.4450585643594474E7,4013104.064505295,127456.3162324283
670,492500452,40.734676,-111.55325,-1.4403316220147122E7,3989593.953183705,162843.0282664765
671,492500452,40.74298,-111.5611,-1.4404186157612093E7,3990282.6255269647,162111.90577207925
672,492500452,40.753955,-111.572362,-1.4405429368512811E7,3991187.2256286205,161078.5084669629
673,492500452,40.750138,-111.602288,-1.4408562649655847E7,3990665.128601746,158593.26632401085
99570,492500452,40.557321,-111.897963,-1.4438715477005385E7,3971719.9453948583,137162.82245330862
674,492500452,40.753079,-111.614798,-1.4409895880966583E7,3990849.308334678,157519.10026676685
32001,1897559077,39.077089,-111.131685,-1.435026321420159E7,3843261.837804093,202341.2763926238
675,492500452,40.751602,-111.630012,-1.4411491191262037E7,3990624.9758217023,156252.23522035734
676,492500452,40.743731,-111.658633,-1.4414466020634932E7,3989751.132848987,153912.64614917294
677,492500452,40.740033,-111.666881,-1.4415315915860174E7,3989372.4337457763,153252.31518491567
32000,1897559077,39.07709,-111.131745,-1.4350269537271392E7,3843261.5622888547,202336.52164804886
678,492500452,40.743627,-111.658742,-1.4414476967503548E7,3989741.2371982625,153904.38278229884
679,492500452,40.740708,-111.675156,-1.4416191247279147E7,3989381.554117439,152551.37861014623
23103958,492500452,41.465643,-112.054227,-1.445986473744931E7,4051016.583862016,138570.3508511495
9818,1897559077,37.129458,-113.346476,-1.4572884630417658E7,3650107.398327341,138010.7374689849
9819,1897559077,37.129481,-113.346385,-1.4572875182546215E7,3650110.1110458183,138007.84597847133
64001,492500452,40.048596,-111.740037,-1.441943065574545E7,3927255.2613931247,171530.3120629872
6320,492500452,40.736596,-111.486502,-1.4396293627396394E7,3990173.381106801,168432.60867188277
64000,492500452,40.048468,-111.739816,-1.4419406708740756E7,3927245.1424990445,171553.77957166356
64003,492500452,40.053419,-111.734722,-1.4418896003433244E7,3927720.2414068673,171639.9740748493
8501,492500452,40.031291,-111.747086,-1.4420082741393102E7,3925660.421328967,172027.30721809814
64002,492500452,40.053279,-111.734521,-1.4418874100438936E7,3927708.9248308693,171662.65842307068
8500,492500452,40.031391,-111.747086,-1.442008326386344E7,3925669.3885525456,172021.42886478925
99565,492500452,40.572873,-111.900204,-1.443903226897751E7,3973089.6821226906,136582.2837098618
147485,492500452,40.991878,-111.938617,-1.4445246846004892E7,4010005.9166483874,130901.28636062283
99568,492500452,40.562546,-111.899134,-1.443886595791577E7,3972177.60236471,136931.21900080403
99567,492500452,40.5669,-111.899759,-1.4438954395668058E7,3972561.0962413894,136768.72319163737
99562,492500452,40.585717,-111.900149,-1.4439093108231992E7,3974232.3794406625,136275.01181728425
99561,492500452,40.590516,-111.901289,-1.4439238103605043E7,3974652.145403578,136068.05227261301
99564,492500452,40.581268,-111.900193,-1.4439074664145214E7,3973836.4351933543,136377.7762760487
680,492500452,40.743521,-111.685136,-1.441725726271933E7,3989569.897738696,151688.47134027776
681,492500452,40.745659,-111.692328,-1.4418026050916795E7,3989715.449657712,151065.96101555382
147000,492500452,40.960947,-111.895969,-1.4440593629635055E7,4007533.5642774575,134086.42073141102
13103201,492500452,40.272123,-111.716573,-1.4418124506880684E7,3947405.1077691666,161869.47650708247
23103940,492500452,41.343078,-112.038881,-1.445761897881243E7,4040346.6748831435,133479.4508293867
682,492500452,40.748394,-111.697754,-1.4418611860532496E7,3989924.7928537033,150587.0654168247
683,492500452,40.750653,-111.708703,-1.4419777109297313E7,3990058.004388758,149648.6056778192
200,492500452,40.764405,-111.986177,-1.4449082609017216E7,3989573.253928236,126228.27119975732
684,492500452,40.751706,-111.71729,-1.4420687268989662E7,3990098.7169389864,148918.61837171557
685,492500452,40.746817,-111.725461,-1.4421522891650321E7,3989614.8483790937,148273.14395578302
202,492500452,40.764409,-111.974528,-1.4447855304104097E7,3989645.24040724,127206.78524169633
686,492500452,40.743203,-111.732178,-1.4422211907925177E7,3989252.9903216264,147740.6203460891
687,492500452,40.741217,-111.741667,-1.4423201390829656E7,3989018.5416795067,146961.708191429
204,492500452,40.764494,-111.966732,-1.4447034366012841E7,3989700.714795864,127861.00851896823
689,492500452,40.734344,-111.747864,-1.4423818766512038E7,3988370.669474715,146506.11204033933
207,492500452,40.765056,-111.956184,-1.4445925948597495E7,3989815.4121288145,128742.70523757051
